id,name,set_code,card_number,card_type,cost,traits,rules_text,image_filename
ven-sp1,"Kai'sa, Survivor",VEN,sp1,main,,,,ven-sp1.webp
ven-sp2,"Sona, Harmonious",VEN,sp2,main,,,,ven-sp2.webp
ven-sp3,"Ahri, Inquisitive",VEN,sp3,main,,,,ven-sp3.webp
ven-sp4,"Sett, Brawler",VEN,sp4,main,,,,ven-sp4.webp
ven-sp5,"Ezreal, Prodigy",VEN,sp5,main,,,,ven-sp5.webp
ven-sp6,"Lux, Crownguard",VEN,sp6,main,,,,ven-sp6.webp
ven-t01,Empowered,VEN,t01,token,,,,
ven-t02,ven-t02,VEN,t02,token,,,,
ven-t03,ven-t03,VEN,t03,token,,,,
ven-t04,Recruit,VEN,t04,token,,,,
ven-t05,Shadow Clone,VEN,t05,token,,,,
ven-t06,Tentacle,VEN,t06,token,,,,
